mesh	collision_flag	triangles	simple_shapes	has_nav_data
Nature/Soil/SM_Soil_Flat2	CTF_UseComplexAsSimple	1827	convexElems=1	True
Nature/Soil/SM_Soil_Flat5	CTF_UseComplexAsSimple	1709	convexElems=37	True
Nature/Rocks/SM_Pillar_Rock_3	CTF_UseDefault	16790	convexElems=1	True
Nature/Rocks/SM_Cliff_Rock_5	CTF_UseDefault	15616	convexElems=1	True
Nature/Rocks/SM_Pillar_Rock_4	CTF_UseDefault	15198	convexElems=1	True
Nature/Rocks/SM_Cliff_Rock_4	CTF_UseDefault	13918	convexElems=1	True
Nature/Rocks/SM_Cliff_Rock_1	CTF_UseDefault	13838	convexElems=1	True
Nature/Rocks/SM_Cliff_Rock_3	CTF_UseDefault	13807	convexElems=1	True
Nature/Rocks/SM_Rock_Shard_5	CTF_UseDefault	12610	convexElems=12	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Tree2	CTF_UseDefault	12178	convexElems=24	True
Nature/Rocks/SM_Rock_Shard_1	CTF_UseDefault	11874	convexElems=7	True
Nature/Rocks/SM_Cliff_Rock_2	CTF_UseDefault	11715	convexElems=1	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Tree1	CTF_UseDefault	10912	convexElems=28	True
Nature/Rocks/SM_Rock_Shard_3	CTF_UseDefault	10542	convexElems=8	True
Nature/Rocks/SM_Rock_Shard_2	CTF_UseDefault	10238	convexElems=7	True
Nature/Rocks/SM_Rock_Shard_4	CTF_UseDefault	9768	convexElems=11	True
Nature/Rocks/SM_Cave_Drip_Pillar5	CTF_UseDefault	8228	convexElems=4	True
Nature/Rocks/SM_Rock_Flake1	CTF_UseDefault	7946	convexElems=7	True
Nature/Rocks/Distant/SM_Distant_RockyMountain3	CTF_UseDefault	7711	none	True
Nature/Rocks/SM_Rock_Boulder_4	CTF_UseDefault	7602	convexElems=2	True
Nature/Rocks/SM_Cave_Drip_Pillar3	CTF_UseDefault	7308	convexElems=6	True
Nature/Rocks/SM_Cave_Drip_Pillar4	CTF_UseDefault	7158	convexElems=5	True
Nature/Rocks/Distant/SM_Distant_RockyMountain1	CTF_UseDefault	6374	none	True
Nature/Rocks/Distant/SM_Distant_RockyMountain2	CTF_UseDefault	6325	none	True
Nature/Rocks/SM_Cave_Dripstone4	CTF_UseDefault	6182	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Polynoid_Shrub3	CTF_UseDefault	6065	convexElems=9	True
Nature/Rocks/SM_Rock_Flake3	CTF_UseDefault	6060	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Polynoid_Shrub1	CTF_UseDefault	5989	convexElems=9	True
Nature/Rocks/SM_Rock_Flake2	CTF_UseDefault	5952	convexElems=3	True
Nature/Rocks/SM_Cave_Drip_Pillar1	CTF_UseDefault	5830	convexElems=7	True
Nature/Rocks/SM_Cave_Drip_Pillar2	CTF_UseDefault	5445	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Polynoid_Shrub2	CTF_UseDefault	5301	convexElems=7	True
Nature/Foliage/Arctic/SM_Arctic_FractroidTree1	CTF_UseDefault	5283	convexElems=6	True
Nature/Rocks/SM_Rock_Boulder_10	CTF_UseDefault	5202	convexElems=4	True
Nature/Rocks/Debris/SM_Debris_Arctic_Rocks_3	CTF_UseDefault	5103	convexElems=1	True
Nature/Rocks/SM_Cave_Dripstone2	CTF_UseDefault	5012	convexElems=4	True
Nature/Rocks/SM_Cave_Dripstone10	CTF_UseDefault	4868	convexElems=4	True
Nature/Rocks/SM_Cave_Dripstone3	CTF_UseDefault	4866	convexElems=4	True
Nature/Rocks/SM_Rock_Boulder_1	CTF_UseDefault	4536	convexElems=2	True
Nature/Soil/SM_Soil_Lump2	CTF_UseDefault	4508	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Cliffloid_Shroom1	CTF_UseDefault	4500	convexElems=10	True
Nature/Foliage/Arctic/SM_Arctic_Curvoid_Bush2	CTF_UseDefault	4457	none	True
Nature/Rocks/SM_Rock_Boulder_6	CTF_UseDefault	4244	convexElems=1	True
Nature/Rocks/SM_Cave_Dripstone9	CTF_UseDefault	4138	convexElems=4	True
Nature/Rocks/SM_Rock_Boulder_3	CTF_UseDefault	4116	convexElems=1	True
Nature/Rocks/SM_Rock_Boulder_5	CTF_UseDefault	4032	convexElems=2	True
Nature/Rocks/SM_Rock_Boulder_7	CTF_UseDefault	4014	convexElems=1	True
Nature/Space/SM_SpaceSphere	CTF_UseDefault	3968	none	True
Nature/Foliage/Arctic/SM_Arctic_Trumbroid2	CTF_UseDefault	3920	convexElems=12	True
Nature/Rocks/SM_Rock_Boulder_2	CTF_UseDefault	3902	convexElems=2	True
Nature/Foliage/Arctic/SM_Arctic_Trumbroid1	CTF_UseDefault	3894	convexElems=16	True
Nature/Rocks/Debris/SM_Debris_Arctic_Rocks_1	CTF_UseDefault	3770	convexElems=1	True
Nature/Rocks/SM_Rock_Boulder_9	CTF_UseDefault	3765	convexElems=1	True
Nature/Rocks/SM_Cave_Dripstone7	CTF_UseDefault	3686	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Curvoid_Bush1	CTF_UseDefault	3679	none	True
Nature/Rocks/Debris/SM_Debris_Arctic_Rocks_2	CTF_UseDefault	3644	convexElems=1	True
Nature/Rocks/SM_Rock_Boulder_8	CTF_UseDefault	3630	convexElems=1	True
Nature/Foliage/Arctic/SM_Arctic_FractroidTree2	CTF_UseDefault	3627	convexElems=4	True
Nature/Rocks/SM_Cave_Dripstone8	CTF_UseDefault	3610	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Shrub2	CTF_UseDefault	3292	none	True
Nature/Soil/SM_Soil_Lump1	CTF_UseDefault	3257	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Polynoid_Grass2	CTF_UseDefault	3203	none	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Undergrown3	CTF_UseDefault	3200	none	True
Nature/Foliage/Arctic/SM_Arctic_Cliffloid_Lichen2	CTF_UseDefault	3102	none	True
Nature/Rocks/Debris/SM_Debris_Arctic_Rocks_4	CTF_UseDefault	2994	convexElems=1	True
Nature/Rocks/SM_Cave_Dripstone6	CTF_UseDefault	2990	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Shrub1	CTF_UseDefault	2954	none	True
Nature/Rocks/SM_Volcanic_Pools3_Water	CTF_UseDefault	2836	none	True
Nature/Foliage/Arctic/SM_Arctic_Polynoid_Grass1	CTF_UseDefault	2635	none	True
Nature/Foliage/Arctic/SM_Arctic_PolynoidHorn_Grass1	CTF_UseDefault	2505	none	True
Nature/Foliage/Arctic/SM_Arctic_Cliffloid_Plate1	CTF_UseDefault	2478	convexElems=12	True
Nature/Rocks/SM_Cave_Dripstone5	CTF_UseDefault	2388	convexElems=4	True
Nature/Foliage/Arctic/SM_Arctic_Cliffloid_Lichen1	CTF_UseDefault	2086	none	True
Nature/Terrain/SM_Water_Plane	CTF_UseDefault	2016	none	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Undergrown2	CTF_UseDefault	1982	none	True
Nature/Foliage/Arctic/SM_Arctic_Grass1	CTF_UseDefault	1885	none	True
Nature/Foliage/Arctic/SM_Arctic_Blobloid3	CTF_UseDefault	1826	none	True
Nature/Foliage/Arctic/SM_Arctic_Blobloid2	CTF_UseDefault	1824	none	True
Nature/Foliage/Arctic/SM_Arctic_Blobloid4	CTF_UseDefault	1794	none	True
Nature/Foliage/Arctic/SM_Arctic_TrumbroidBush1	CTF_UseDefault	1790	none	True
Nature/Foliage/Arctic/SM_Arctic_TrumbroidBush2	CTF_UseDefault	1708	none	True
Nature/Foliage/Arctic/SM_Arctic_Blobloid1	CTF_UseDefault	1674	none	True
Nature/Foliage/Arctic/SM_Arctic_Fummel_Undergrown1	CTF_UseDefault	1490	none	True
Nature/Rocks/SM_Mineral1	CTF_UseDefault	1358	convexElems=1	True
Nature/Rocks/Debris/SM_Debris_Snow_Lump2	CTF_UseDefault	1288	none	True
Nature/Foliage/Arctic/SM_Arctic_FractroidBush2	CTF_UseDefault	1244	none	True
Nature/Rocks/SM_Volcanic_Pools1_Water	CTF_UseDefault	1082	none	True
Nature/Foliage/Arctic/SM_Arctic_FractroidBush1	CTF_UseDefault	996	none	True
Nature/Rocks/Debris/SM_Debris_Snow_Lump1	CTF_UseDefault	916	none	True
Nature/Rocks/SM_Volcanic_Pools2_Water	CTF_UseDefault	868	none	True
Nature/Space/SM_Planet_Ring	CTF_UseDefault	800	none	True
Nature/Terrain/SM_Showcase	CTF_UseDefault	402	none	True
Nature/Terrain/SM_RiverPiece	CTF_UseDefault	320	none	True
Structure/Helpers/SM_Helper_AxisCube	CTF_UseDefault	320	convexElems=1	True
Structure/Helpers/SM_Helper_Debris	CTF_UseDefault	256	convexElems=1	True
Nature/Space/SM_Planet	CTF_UseDefault	256	none	True
Nature/Rocks/SM_Volcanic_Island2_Water	CTF_UseDefault	243	none	True
Nature/Rocks/SM_Volcanic_Island1_Water	CTF_UseDefault	232	none	True
Nature/Rocks/Distant/SM_Distant_RockyMountain1_Rocks	CTF_UseSimpleAsComplex	27836	none	True
Nature/Rocks/Distant/SM_Distant_RockyMountain2_Rocks	CTF_UseSimpleAsComplex	23535	none	True
